+--------+------------+------------+----------+----------+----------+----------+----------+----------+----------+-----------+----------+----------+-----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+----------+----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+-----------+-----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+-----------+----------+----------+----------+----------+----------+----------+----------+-----------+----------+-----------+----------+----------+-----------+----------+----------+
| source |    sum     |    SIL     |   SPN    |    AA    |   AA0    |   AA1    |   AA2    |    AE    |   AE0    |    AE1    |   AE2    |    AH    |    AH0    |    AH1    |   AH2    |    AO    |   AO0    |   AO1    |   AO2    |    AW    |   AW0    |   AW1    |   AW2    |    AY    |   AY0    |   AY1    |   AY2    |    B     |    CH    |     D     |     DH    |    EH    |   EH0    |    EH1    |   EH2    |    ER    |    ER0    |   ER1    |   ER2    |    EY    |   EY0    |   EY1    |   EY2    |    F     |    G     |    HH    |    IH    |    IH0    |    IH1    |   IH2    |    IY    |    IY0    |    IY1    |   IY2    |    JH    |     K     |     L     |     M     |     N     |     NG    |    OW    |   OW0    |   OW1    |   OW2    |    OY    |   OY0    |   OY1    |   OY2    |    P     |     R     |     S     |    SH    |     T     |    TH    |    UH    |   UH0    |   UH1    |   UH2    |    UW    |   UW0    |    UW1    |   UW2    |     V     |    W     |    Y     |     Z     |    ZH    |  final   |
+--------+------------+------------+----------+----------+----------+----------+----------+----------+----------+-----------+----------+----------+-----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+----------+----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+-----------+-----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+-----------+----------+----------+----------+----------+----------+----------+----------+-----------+----------+-----------+----------+----------+-----------+----------+----------+
| start  | 424.971961 | 422.122955 | 0.030983 | 0.031343 | 0.031343 | 0.030919 | 0.031313 | 0.031343 | 0.030953 |  0.053696 | 0.031350 | 0.031343 |  0.054662 |  0.030287 | 0.031343 | 0.031343 | 0.030910 | 0.030753 | 0.031524 | 0.031343 | 0.031343 | 0.031039 | 0.031343 | 0.031343 | 0.031434 | 0.045749 | 0.031343 | 0.045931 | 0.030573 |  0.032916 |  0.059529 | 0.031343 | 0.031341 |  0.030604 | 0.031343 | 0.031343 |  0.031457 | 0.031343 | 0.031343 | 0.031343 | 0.031343 | 0.030813 | 0.031343 | 0.038377 | 0.030341 | 0.049659 | 0.031343 |  0.037529 |  0.037078 | 0.031375 | 0.031343 |  0.031326 |  0.031788 | 0.031343 | 0.030308 |  0.031922 |  0.031046 |  0.035228 |  0.037665 |  0.031343 | 0.031343 | 0.031343 | 0.030434 | 0.031331 | 0.031343 | 0.031343 | 0.031343 | 0.031343 | 0.030792 |  0.032069 |  0.039840 | 0.035141 |  0.034747 | 0.030907 | 0.031343 | 0.031343 | 0.031343 | 0.031343 | 0.031343 | 0.031343 |  0.031414 | 0.031343 |  0.030926 | 0.053625 | 0.034629 |  0.031089 | 0.031343 | 0.000000 |
|  SIL   | 87.542875  |  0.006557  | 0.283205 | 0.006557 | 0.035673 | 1.149547 | 0.036394 | 0.006557 | 0.028839 |  6.609253 | 0.063577 | 0.006557 |  7.756233 |  0.648325 | 0.123684 | 0.006557 | 0.045805 | 2.074875 | 0.086309 | 0.006557 | 0.011738 | 0.213177 | 0.008030 | 0.006557 | 0.020362 | 2.785305 | 0.006692 | 4.716382 | 0.264850 |  1.816318 |  7.862441 | 0.006557 | 0.048481 |  1.560562 | 0.055083 | 0.006557 |  0.103068 | 0.107506 | 0.006557 | 0.006557 | 0.006714 | 0.401848 | 0.006663 | 2.018744 | 0.896891 | 4.325050 | 0.006557 |  4.200433 |  1.274799 | 0.196779 | 0.006557 |  0.006554 |  0.699863 | 0.009150 | 0.645668 |  2.018860 |  1.224630 |  2.034225 |  2.935548 |  0.006557 | 0.006557 | 0.020781 | 1.108541 | 0.027647 | 0.006557 | 0.006557 | 0.015385 | 0.006557 | 1.475842 |  0.800130 |  2.285296 | 1.440394 |  2.954133 | 0.477080 | 0.006557 | 0.006557 | 0.006557 | 0.006557 | 0.006557 | 0.006557 |  0.017538 | 0.006557 |  0.292806 | 5.472414 | 1.240134 |  0.015274 | 0.008710 | 8.302713 |
|  SPN   | 79.752379  | 49.777756  | 1.216220 | 0.016591 | 0.016591 | 0.278862 | 0.016591 | 0.016591 | 0.092723 |  0.749599 | 0.218492 | 0.016591 |  2.253239 |  0.186176 | 0.016591 | 0.016591 | 0.016591 | 0.271119 | 0.022602 | 0.016591 | 0.016591 | 0.031385 | 0.016591 | 0.016591 | 0.161780 | 0.284556 | 0.016591 | 0.894908 | 0.322511 |  0.865918 |  0.594652 | 0.016591 | 0.084898 |  0.119924 | 0.130410 | 0.016591 |  0.217500 | 0.016727 | 0.016591 | 0.016591 | 0.016591 | 0.066168 | 0.016591 | 1.261119 | 0.468431 | 2.423874 | 0.016591 |  1.081736 |  0.445871 | 0.040652 | 0.016591 |  0.016967 |  0.136727 | 0.016591 | 0.168324 |  1.432190 |  0.757187 |  1.136477 |  0.381562 |  0.016591 | 0.016591 | 0.016591 | 0.254486 | 0.054355 | 0.016591 | 0.016591 | 0.016591 | 0.016591 | 1.010331 |  1.396509 |  2.286028 | 0.453653 |  1.085208 | 0.216614 | 0.016591 | 0.016591 | 0.016591 | 0.016591 | 0.016591 | 0.016591 |  0.016591 | 0.016591 |  0.262212 | 2.802469 | 0.168576 |  0.016591 | 0.016591 | 0.505625 |
|   AA   | 87.000000  |  1.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |
|  AA0   | 39.437744  |  0.286888  | 0.013911 | 0.013911 | 0.013911 | 0.014814 | 0.013911 | 0.013911 | 0.013911 |  0.044928 | 0.013911 | 0.013911 |  0.077213 |  0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.795166 | 0.243947 |  0.599529 |  0.014987 | 0.013911 | 0.013911 |  0.013911 | 0.013911 | 0.013911 |  0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.263153 | 0.703756 | 0.228835 | 0.013911 |  0.020503 |  0.016432 | 0.013911 | 0.013911 |  0.013911 |  0.100435 | 0.101814 | 0.145885 |  1.300818 |  1.161029 |  1.326731 |  6.369118 |  0.301959 | 0.013911 | 0.144684 | 0.102081 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.379774 | 16.637384 |  2.542245 | 0.183299 |  2.604780 | 0.271867 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 | 0.013911 |  0.013911 | 0.013911 |  1.254503 | 0.179593 | 0.148369 |  0.100351 | 0.013911 | 0.033584 |
|  AA1   | 88.930101  |  0.206591  | 0.050763 | 0.011896 | 0.011896 | 0.014234 | 0.011896 | 0.011896 | 0.011896 |  0.013490 | 0.011896 | 0.011896 |  0.019162 |  0.012931 | 0.011896 | 0.011896 | 0.011896 | 0.011892 | 0.011896 | 0.011896 | 0.011896 | 0.011945 | 0.011896 | 0.011896 | 0.011896 | 0.020594 | 0.011896 | 1.846775 | 0.445439 |  2.727623 |  1.405449 | 0.011896 | 0.011896 |  0.017865 | 0.011896 | 0.011896 |  0.028578 | 0.011896 | 0.011896 | 0.011896 | 0.011896 | 0.011919 | 0.011896 | 0.295871 | 0.605094 | 0.040253 | 0.011896 |  0.033054 |  0.014239 | 0.011896 | 0.011896 |  0.011896 |  0.011896 | 0.011896 | 0.333099 |  3.726759 |  5.343117 |  3.159613 | 19.397327 |  0.220304 | 0.011896 | 0.011896 | 0.011896 | 0.011896 | 0.011896 | 0.011896 | 0.011896 | 0.011896 | 3.358071 | 24.932524 |  2.394629 | 0.326800 | 16.273455 | 0.077421 | 0.011896 | 0.011896 | 0.011896 | 0.011896 | 0.011896 | 0.011896 |  0.011896 | 0.011896 |  0.397350 | 0.052008 | 0.079013 |  0.408386 | 0.020859 | 0.024620 |
|  AA2   | 38.101344  |  0.107273  | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 |  0.038134 | 0.010834 | 0.010834 |  0.021909 |  0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 1.552675 | 0.010834 |  2.197268 |  1.090140 | 0.010834 | 0.010834 |  0.010834 | 0.010834 | 0.010834 |  0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.118881 | 0.098059 | 0.195621 | 0.010834 |  0.010834 |  0.010834 | 0.010834 | 0.010834 |  0.010834 |  0.010834 | 0.010834 | 0.177031 |  1.952582 |  2.431772 |  3.452810 |  9.459216 |  0.327930 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 4.568611 |  5.620163 |  1.311096 | 0.295419 |  1.743726 | 0.138587 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 | 0.010834 |  0.010834 | 0.010834 |  0.182222 | 0.010834 | 0.010834 |  0.266279 | 0.066669 | 0.015535 |
|   AE   | 87.000000  |  1.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |
|  AE0   | 31.955772  |  0.012412  | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 |  0.012412 | 0.012412 | 0.012412 |  0.012412 |  0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.778191 | 0.225294 |  4.912434 |  0.012412 | 0.012412 | 0.012412 |  0.012412 | 0.012412 | 0.012412 |  0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.139778 | 3.145800 | 0.012412 | 0.012412 |  0.012412 |  0.012412 | 0.012412 | 0.012412 |  0.012412 |  0.012412 | 0.012412 | 0.012412 |  3.534523 |  1.485059 |  3.675283 |  8.258221 |  1.289604 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.413265 |  0.012412 |  1.277770 | 0.171334 |  0.982130 | 0.294458 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 | 0.012412 |  0.012412 | 0.012412 |  0.012412 | 0.012412 | 0.012412 |  0.491368 | 0.012412 | 0.012412 |
