+--------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| source |   sum    |  <sil>   |  <unk>   |    AA    |    AE    |    AH    |    AO    |    AW    |    AY    |    B     |    CH    |    D     |    DH    |    EH    |    ER    |    EY    |    F     |    G     |    HH    |    IH    |    IY    |    JH    |    K     |    L     |    M     |    N     |    NG    |    OW    |    OY    |    P     |    R     |    S     |    SH    |    T     |    TH    |    UH    |    UW    |    V     |    W     |    Y     |    Z     |    ZH    |  final   |
+--------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| start  | 1.000001 | 0.710166 | 0.008846 | 0.000348 | 0.001622 | 0.046673 | 0.032714 | 0.000109 | 0.019230 | 0.022585 | 0.000165 | 0.003928 | 0.023069 | 0.000917 | 0.000914 | 0.000177 | 0.006283 | 0.010424 | 0.003093 | 0.018069 | 0.000186 | 0.000758 | 0.005215 | 0.002740 | 0.001906 | 0.001847 | 0.000047 | 0.013070 | 0.000047 | 0.004803 | 0.001750 | 0.010816 | 0.000547 | 0.003741 | 0.005220 | 0.000047 | 0.000280 | 0.000287 | 0.024647 | 0.012625 | 0.000047 | 0.000047 | 0.000000 |
| <sil>  | 1.000000 | 0.000020 | 0.090450 | 0.001298 | 0.012676 | 0.046992 | 0.021950 | 0.005468 | 0.044841 | 0.056577 | 0.003849 | 0.016578 | 0.060391 | 0.004487 | 0.001837 | 0.004785 | 0.068779 | 0.015695 | 0.015113 | 0.030473 | 0.000251 | 0.003691 | 0.024540 | 0.010781 | 0.029068 | 0.026366 | 0.000020 | 0.046484 | 0.000020 | 0.020080 | 0.063028 | 0.089392 | 0.002207 | 0.059439 | 0.017946 | 0.000020 | 0.000357 | 0.000911 | 0.051750 | 0.015174 | 0.000020 | 0.000020 | 0.036175 |
| <unk>  | 1.000000 | 0.940259 | 0.001546 | 0.000092 | 0.000362 | 0.002077 | 0.000331 | 0.000320 | 0.003014 | 0.000382 | 0.000058 | 0.000201 | 0.001245 | 0.000142 | 0.000139 | 0.000015 | 0.000174 | 0.000562 | 0.000390 | 0.009737 | 0.000069 | 0.000232 | 0.000090 | 0.000393 | 0.000262 | 0.000201 | 0.000013 | 0.000180 | 0.000013 | 0.000271 | 0.000182 | 0.000350 | 0.000123 | 0.000097 | 0.000074 | 0.000013 | 0.000148 | 0.000079 | 0.000550 | 0.000421 | 0.000013 | 0.000013 | 0.035167 |
|   AA   | 1.000000 | 0.002969 | 0.000332 | 0.000026 | 0.000027 | 0.000066 | 0.000060 | 0.000026 | 0.000294 | 0.011327 | 0.000483 | 0.015914 | 0.000600 | 0.000026 | 0.000029 | 0.000030 | 0.000288 | 0.000515 | 0.000138 | 0.000368 | 0.000026 | 0.022054 | 0.009666 | 0.001692 | 0.002669 | 0.024009 | 0.000272 | 0.000286 | 0.000026 | 0.104753 | 0.101981 | 0.008924 | 0.004112 | 0.226026 | 0.000051 | 0.000026 | 0.000026 | 0.398938 | 0.000360 | 0.000242 | 0.057887 | 0.000026 | 0.002428 |
|   AE   | 1.000000 | 0.029877 | 0.000119 | 0.000024 | 0.000027 | 0.000362 | 0.000132 | 0.000024 | 0.004441 | 0.003841 | 0.001262 | 0.013643 | 0.001943 | 0.000035 | 0.000024 | 0.000032 | 0.004082 | 0.004857 | 0.000075 | 0.001541 | 0.000024 | 0.000537 | 0.076044 | 0.001374 | 0.080867 | 0.056716 | 0.023860 | 0.000373 | 0.000024 | 0.009467 | 0.000099 | 0.119623 | 0.001416 | 0.339347 | 0.078071 | 0.000024 | 0.000024 | 0.097943 | 0.000734 | 0.004598 | 0.030527 | 0.001172 | 0.010794 |
|   AH   | 1.000000 | 0.065836 | 0.000268 | 0.000032 | 0.000120 | 0.000022 | 0.000042 | 0.000151 | 0.000026 | 0.015077 | 0.002315 | 0.039783 | 0.021536 | 0.000198 | 0.000021 | 0.000150 | 0.021286 | 0.018350 | 0.018976 | 0.000172 | 0.000109 | 0.001347 | 0.037199 | 0.069150 | 0.112267 | 0.330035 | 0.001140 | 0.000882 | 0.000021 | 0.040353 | 0.043175 | 0.015947 | 0.000252 | 0.032742 | 0.001960 | 0.000021 | 0.000060 | 0.093768 | 0.011457 | 0.000275 | 0.002680 | 0.000021 | 0.000776 |
|   AO   | 1.000000 | 0.000556 | 0.000027 | 0.000027 | 0.000027 | 0.000256 | 0.000068 | 0.000027 | 0.000027 | 0.000027 | 0.000786 | 0.000170 | 0.000040 | 0.000027 | 0.000033 | 0.000032 | 0.005006 | 0.018115 | 0.000027 | 0.000374 | 0.000027 | 0.000027 | 0.008555 | 0.371473 | 0.000207 | 0.143055 | 0.002804 | 0.000094 | 0.000027 | 0.000101 | 0.435059 | 0.007428 | 0.000209 | 0.003809 | 0.000149 | 0.000027 | 0.000027 | 0.000027 | 0.000163 | 0.000027 | 0.000254 | 0.000027 | 0.000780 |
|   AW   | 1.000000 | 0.140914 | 0.000213 | 0.000048 | 0.001457 | 0.006968 | 0.001069 | 0.000114 | 0.027082 | 0.001039 | 0.005014 | 0.006092 | 0.008701 | 0.001401 | 0.005977 | 0.000053 | 0.000974 | 0.000848 | 0.004661 | 0.008010 | 0.000026 | 0.000091 | 0.000703 | 0.000888 | 0.004269 | 0.093693 | 0.000026 | 0.000362 | 0.000026 | 0.000035 | 0.000104 | 0.094429 | 0.000161 | 0.539720 | 0.001593 | 0.000026 | 0.000248 | 0.000026 | 0.007859 | 0.000932 | 0.001657 | 0.000026 | 0.032467 |
|   AY   | 1.000000 | 0.060391 | 0.000321 | 0.000084 | 0.033420 | 0.001329 | 0.001201 | 0.000335 | 0.000056 | 0.001208 | 0.000333 | 0.038857 | 0.005463 | 0.000690 | 0.192189 | 0.000087 | 0.005575 | 0.021569 | 0.017101 | 0.001743 | 0.000110 | 0.003397 | 0.037126 | 0.028708 | 0.158070 | 0.079602 | 0.002878 | 0.000367 | 0.000022 | 0.005228 | 0.028552 | 0.009827 | 0.001688 | 0.166777 | 0.014386 | 0.000022 | 0.000035 | 0.058473 | 0.017366 | 0.000919 | 0.002848 | 0.000022 | 0.001626 |
|   B    | 1.000000 | 0.000992 | 0.000026 | 0.002287 | 0.169844 | 0.086494 | 0.004714 | 0.011709 | 0.021239 | 0.000027 | 0.000023 | 0.000166 | 0.001525 | 0.143912 | 0.005101 | 0.001454 | 0.000153 | 0.000485 | 0.000374 | 0.069483 | 0.071194 | 0.000479 | 0.000023 | 0.055716 | 0.000023 | 0.000023 | 0.000023 | 0.005465 | 0.006915 | 0.000023 | 0.330558 | 0.001293 | 0.000023 | 0.000319 | 0.000023 | 0.000915 | 0.002660 | 0.000244 | 0.000363 | 0.000988 | 0.000706 | 0.000023 | 0.001992 |
|   CH   | 1.000000 | 0.032227 | 0.001412 | 0.020116 | 0.004880 | 0.463928 | 0.001352 | 0.002431 | 0.011742 | 0.001252 | 0.000429 | 0.002480 | 0.007080 | 0.254896 | 0.018800 | 0.007356 | 0.004664 | 0.000759 | 0.001310 | 0.091799 | 0.020137 | 0.000100 | 0.002735 | 0.003477 | 0.004121 | 0.000803 | 0.000030 | 0.000067 | 0.001839 | 0.001707 | 0.000714 | 0.001348 | 0.000030 | 0.005239 | 0.000030 | 0.000030 | 0.012119 | 0.000030 | 0.006795 | 0.001796 | 0.000030 | 0.000030 | 0.007880 |
|   D    | 1.000000 | 0.196681 | 0.000460 | 0.001068 | 0.031203 | 0.056336 | 0.056537 | 0.011164 | 0.105272 | 0.006163 | 0.002437 | 0.000134 | 0.075821 | 0.007315 | 0.011577 | 0.007545 | 0.007068 | 0.006574 | 0.005083 | 0.088634 | 0.020628 | 0.002091 | 0.001069 | 0.002544 | 0.006035 | 0.005103 | 0.000020 | 0.016324 | 0.000020 | 0.003560 | 0.087255 | 0.005552 | 0.000686 | 0.014368 | 0.001280 | 0.000108 | 0.037788 | 0.002212 | 0.015104 | 0.007071 | 0.068068 | 0.000020 | 0.026020 |
|   DH   | 1.000000 | 0.000095 | 0.000021 | 0.000021 | 0.151197 | 0.475391 | 0.000021 | 0.000025 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.148688 | 0.040511 | 0.005521 | 0.000021 | 0.000021 | 0.000022 | 0.102349 | 0.070832 | 0.000021 | 0.000022 | 0.000021 | 0.000085 | 0.000021 | 0.000021 | 0.004642 | 0.000021 | 0.000021 | 0.000022 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 |
|   EH   | 1.000000 | 0.000030 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.000021 | 0.185536 | 0.000767 | 0.000021 | 0.000021 | 0.000021 | 0.009598 | 0.012914 | 0.000021 | 0.000021 | 0.000021 | 0.000386 | 0.104993 | 0.035446 | 0.004192 | 0.117561 | 0.000742 | 0.000021 | 0.000021 | 0.011469 | 0.240168 | 0.148068 | 0.000973 | 0.084837 | 0.000526 | 0.000021 | 0.000021 | 0.037324 | 0.000021 | 0.000110 | 0.003641 | 0.000179 | 0.000114 |
