+----------+------------+----------+----------+----------+----------+----------+------------+----------+----------+-----------+------------+----------+----------+-----------+----------+----------+-----------+----------+-----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+-----------+----------+----------+-----------+----------+----------+-----------+-----------+----------+----------+----------+----------+----------+
|  source  |    sum     | laughter |  noise   |   oov    |  <hes>   | <noise>  |   <sil>    |  <unk>   |    AA    |     AE    |     AH     |    AO    |    AW    |     AY    |    B     |    CH    |     D     |    DH    |     EH    |    ER    |    EY    |    F     |    G     |    HH    |     IH    |     IY    |    JH    |    K     |     L     |     M     |     N     |     NG    |     OW    |     OY    |    P     |     R     |    S     |    SH    |     T     |    TH    |    UH    |     UW    |     V     |    W     |    Y     |    Z     |    ZH    |  final   |
+----------+------------+----------+----------+----------+----------+----------+------------+----------+----------+-----------+------------+----------+----------+-----------+----------+----------+-----------+----------+-----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+-----------+----------+----------+-----------+----------+----------+-----------+-----------+----------+----------+----------+----------+----------+
|  start   | 74.852457  | 0.000670 | 0.000670 | 0.000670 | 0.000670 | 0.000670 | 53.275612  | 0.589258 | 0.020463 |  0.090186 |  3.597511  | 2.330928 | 0.001892 |  1.470594 | 1.754262 | 0.005852 |  0.300734 | 1.889976 |  0.069643 | 0.056056 | 0.009941 | 0.445952 | 0.824739 | 0.245025 |  1.428579 |  0.010424 | 0.050323 | 0.318488 |  0.209642 |  0.119085 |  0.104022 |  0.000670 |  0.845160 |  0.000670 | 0.388449 |  0.096279 | 0.733178 | 0.022396 |  0.219799 | 0.380547 | 0.000670 |  0.016655 |  0.017890 | 1.866823 | 1.039401 | 0.000670 | 0.000670 | 0.000000 |
| laughter | 47.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |
|  noise   | 47.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |
|   oov    | 47.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |
|  <hes>   | 47.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |
| <noise>  | 47.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 |  1.000000  | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |
|  <sil>   | 18.240759  | 0.000049 | 0.000049 | 0.000049 | 0.000049 | 0.000049 |  0.000049  | 1.603183 | 0.025011 |  0.226874 |  0.819044  | 0.410100 | 0.100905 |  0.865105 | 0.977810 | 0.078336 |  0.307392 | 0.940203 |  0.076949 | 0.037539 | 0.090139 | 1.241362 | 0.271517 | 0.283850 |  0.551019 |  0.004937 | 0.067896 | 0.464769 |  0.198983 |  0.532930 |  0.491878 |  0.000049 |  0.927339 |  0.000049 | 0.323576 |  1.146139 | 1.674916 | 0.045090 |  1.122891 | 0.350606 | 0.000049 |  0.006973 |  0.019118 | 0.884920 | 0.285438 | 0.000049 | 0.000049 | 0.785479 |
|  <unk>   | 194.917601 | 0.000326 | 0.000326 | 0.000326 | 0.000326 | 0.000326 | 181.190979 | 0.236363 | 0.007346 |  0.047790 |  0.374196  | 0.040917 | 0.059834 |  0.607423 | 0.055095 | 0.001868 |  0.030847 | 0.353425 |  0.023239 | 0.020755 | 0.000499 | 0.012275 | 0.148697 | 0.050764 |  2.409301 |  0.010017 | 0.029139 | 0.004665 |  0.049785 |  0.031615 |  0.030322 |  0.000326 |  0.023430 |  0.000326 | 0.051639 |  0.021043 | 0.054037 | 0.011377 |  0.013388 | 0.002570 | 0.000326 |  0.028002 |  0.015700 | 0.061073 | 0.068007 | 0.000326 | 0.000326 | 8.736922 |
|    AA    | 47.546385  | 0.000153 | 0.000153 | 0.000153 | 0.000153 | 0.000153 |  0.161624  | 0.011931 | 0.000153 |  0.000166 |  0.001275  | 0.000352 | 0.000153 |  0.010521 | 0.563420 | 0.012067 |  0.788279 | 0.024980 |  0.000153 | 0.000160 | 0.000355 | 0.011198 | 0.022347 | 0.004314 |  0.013434 |  0.000153 | 1.092978 | 0.468788 |  0.079954 |  0.131385 |  0.620914 |  0.010486 |  0.007930 |  0.000153 | 5.128169 |  4.775945 | 0.429835 | 0.201280 | 10.948308 | 0.000354 | 0.000153 |  0.000153 | 19.069870 | 0.013800 | 0.005159 | 2.811509 | 0.000153 | 0.121304 |
